run,repeat,problem,seed,selected_feature_count,modeler_selected_features,modeler_selected_real_count,modeler_selected_dummy_count,modeler_real_coverage_pct,fi_all_real_included,fi_real_only_success,modeler_metadata,run_root
30,5,rosenbrock,4043,5,"[""x3"", ""x4"", ""x2"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_111830_397485_17f9\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_111830_397485_17f9
31,6,rosenbrock,5043,5,"[""x2"", ""x4"", ""x3"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_113458_858862_dfbf\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_113458_858862_dfbf
32,7,rosenbrock,6043,5,"[""x4"", ""x2"", ""x3"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_115139_886536_3e8c\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_115139_886536_3e8c
33,8,rosenbrock,7043,5,"[""x3"", ""x4"", ""x2"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_120809_818838_67e6\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_120809_818838_67e6
34,9,rosenbrock,8043,5,"[""x2"", ""x4"", ""x3"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_122436_101173_d865\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_122436_101173_d865
35,10,rosenbrock,9043,5,"[""x3"", ""x2"", ""x4"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_124102_001570_c3e2\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_rosenbrock_20260901_124102_001570_c3e2
36,1,goldstein_price,44,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_125807_033036_b9d8\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_125807_033036_b9d8
37,2,goldstein_price,1044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_130114_736098_355a\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_130114_736098_355a
38,3,goldstein_price,2044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_130427_536528_348d\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_130427_536528_348d
39,4,goldstein_price,3044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_130711_536075_852b\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_130711_536075_852b
