run,repeat,problem,seed,selected_feature_count,modeler_selected_features,modeler_selected_real_count,modeler_selected_dummy_count,modeler_real_coverage_pct,fi_all_real_included,fi_real_only_success,modeler_metadata,run_root
27,2,rosenbrock,1043,5,"[""x4"", ""x2"", ""x3"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_131427_447720_e533\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_131427_447720_e533
28,3,rosenbrock,2043,5,"[""x3"", ""x4"", ""x2"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_133012_930469_a06d\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_133012_930469_a06d
29,4,rosenbrock,3043,5,"[""x3"", ""x4"", ""x2"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_134549_033376_5fd2\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_134549_033376_5fd2
30,5,rosenbrock,4043,5,"[""x3"", ""x4"", ""x2"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_140312_465225_ee87\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_140312_465225_ee87
31,6,rosenbrock,5043,5,"[""x2"", ""x4"", ""x3"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_141912_359365_80d1\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_141912_359365_80d1
32,7,rosenbrock,6043,5,"[""x4"", ""x2"", ""x3"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_143603_927455_65a3\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_143603_927455_65a3
33,8,rosenbrock,7043,5,"[""x3"", ""x4"", ""x2"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_145140_794688_495b\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_145140_794688_495b
34,9,rosenbrock,8043,5,"[""x2"", ""x4"", ""x3"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_150717_916638_e4bd\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_150717_916638_e4bd
35,10,rosenbrock,9043,5,"[""x3"", ""x2"", ""x4"", ""x1"", ""x5""]",5,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_152354_931196_ab66\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_rosenbrock_20260902_152354_931196_ab66
36,1,goldstein_price,44,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_154007_702347_ba4d\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_154007_702347_ba4d
37,2,goldstein_price,1044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_154312_376544_c4d1\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_154312_376544_c4d1
38,3,goldstein_price,2044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_154554_360158_b8d0\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_154554_360158_b8d0
39,4,goldstein_price,3044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_154856_302362_b928\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_154856_302362_b928
40,5,goldstein_price,4044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_155151_212627_29fd\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_155151_212627_29fd
41,6,goldstein_price,5044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_155448_459911_8faf\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_155448_459911_8faf
42,7,goldstein_price,6044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_155808_185131_ba86\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_155808_185131_ba86
43,8,goldstein_price,7044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_160109_381901_00b0\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_160109_381901_00b0
44,9,goldstein_price,8044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_160659_441096_6500\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_160659_441096_6500
45,10,goldstein_price,9044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_161657_382936_da92\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_161657_382936_da92
46,11,goldstein_price,10044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_162615_449225_2ea2\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_162615_449225_2ea2
47,12,goldstein_price,11044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_163824_224529_2d80\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_163824_224529_2d80
48,13,goldstein_price,12044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_164907_520536_dda1\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_164907_520536_dda1
49,14,goldstein_price,13044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_165938_504959_84fe\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_165938_504959_84fe
50,15,goldstein_price,14044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_170745_572990_2fa9\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_170745_572990_2fa9
51,16,goldstein_price,15044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_171739_715945_32be\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_171739_715945_32be
