run,feature,is_dummy,rank,selected_count,final_score_adj,global_score,bootstrap_freq,null_margin
run_six_hump_camel_20260330_165541_485491_3673,x2,False,2,3,0.8558701877380746,0.8919999999999999,1.0,0.1653713541666666
run_six_hump_camel_20260330_165541_485491_3673,d3,True,3,3,0.8156501792687889,0.8467499999999999,1.0,0.1427135416666667
run_six_hump_camel_20260330_165941_942023_5886,x1,False,1,3,0.94989894401926,0.976875,1.0,0.194396875
run_six_hump_camel_20260330_165941_942023_5886,x2,False,2,3,0.797840083471787,0.8324687499999999,0.9333333333333332,0.0432645833333332
run_six_hump_camel_20260330_165941_942023_5886,d2,True,3,3,0.7821258584455667,0.8215729166666667,0.8,0.0421973958333334
run_six_hump_camel_20260330_170523_882284_d92e,x2,False,1,3,0.8431867646289419,0.8916249999999999,0.9333333333333332,0.1633869791666666
run_six_hump_camel_20260330_170523_882284_d92e,x1,False,2,3,0.8029630074181596,0.878875,1.0,0.1329411458333333
run_six_hump_camel_20260330_170523_882284_d92e,d2,True,3,3,0.7102394192363831,0.7778333333333333,1.0,0.0359630208333333
run_six_hump_camel_20260330_171236_552803_028f,x2,False,1,3,0.8701795882257481,0.9025,1.0,0.1231541666666666
run_six_hump_camel_20260330_171236_552803_028f,x1,False,2,3,0.859977491655508,0.9021249999999998,0.9333333333333332,0.1245302083333332
run_six_hump_camel_20260330_171236_552803_028f,d3,True,3,3,0.6698924520352031,0.7498333333333332,0.8666666666666667,-0.0060269270833334
run_six_hump_camel_20260330_171456_751021_a549,x1,False,1,2,0.9423750354048436,0.960625,1.0,0.1589635416666668
run_six_hump_camel_20260330_171456_751021_a549,d3,True,2,2,0.7043455114405978,0.7550937499999999,0.8666666666666667,-0.072611848958333
run_six_hump_camel_20260331_102242_366036_cfa1,x1,False,1,3,0.9568479872554452,0.9703125,1.0,0.2553463541666666
run_six_hump_camel_20260331_102242_366036_cfa1,x2,False,2,3,0.8558701877380746,0.8919999999999999,1.0,0.1653713541666666
run_six_hump_camel_20260331_102242_366036_cfa1,d3,True,3,3,0.8156501792687889,0.8467499999999999,1.0,0.1427135416666667
run_six_hump_camel_20260331_102641_594202_5321,x1,False,1,3,0.94989894401926,0.976875,1.0,0.194396875
run_six_hump_camel_20260331_102641_594202_5321,x2,False,2,3,0.797840083471787,0.8324687499999999,0.9333333333333332,0.0432645833333332
run_six_hump_camel_20260331_102641_594202_5321,d2,True,3,3,0.7821258584455667,0.8215729166666667,0.8,0.0421973958333334
run_six_hump_camel_20260331_103222_024740_a8d6,x2,False,1,3,0.8431867646289419,0.8916249999999999,0.9333333333333332,0.1633869791666666
run_six_hump_camel_20260331_103222_024740_a8d6,x1,False,2,3,0.8029630074181596,0.878875,1.0,0.1329411458333333
run_six_hump_camel_20260331_103222_024740_a8d6,d2,True,3,3,0.7102394192363831,0.7778333333333333,1.0,0.0359630208333333
run_six_hump_camel_20260331_103934_382789_45cc,x2,False,1,3,0.8701795882257481,0.9025,1.0,0.1231541666666666
run_six_hump_camel_20260331_103934_382789_45cc,x1,False,2,3,0.859977491655508,0.9021249999999998,0.9333333333333332,0.1245302083333332
run_six_hump_camel_20260331_103934_382789_45cc,d3,True,3,3,0.6698924520352031,0.7498333333333332,0.8666666666666667,-0.0060269270833334
run_six_hump_camel_20260331_104153_849923_ccc8,x1,False,1,2,0.9423750354048436,0.960625,1.0,0.1589635416666668
run_six_hump_camel_20260331_104153_849923_ccc8,d3,True,2,2,0.7043455114405978,0.7550937499999999,0.8666666666666667,-0.072611848958333
run_six_hump_camel_20260331_105432_870167_3d95,x1,False,1,1,0.977201302633323,0.9968125,1.0,0.3440875
run_six_hump_camel_20260331_105818_292454_901a,x1,False,1,3,0.9724642889713178,0.9875625,1.0,0.2554973958333333
run_six_hump_camel_20260331_105818_292454_901a,x2,False,2,3,0.910852463834216,0.9280625,1.0,0.2067255208333333
